"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.551724137931034","0.100238663484487","0.6","0.5","0.580645161290323","0.6"
"2","Todas las variables con normalizar","0.655172413793103","0.302884615384615","0.6875","0.615384615384615","0.6875","0.6875"
"3","Variables sin colinealidad y sin normalización","0.655172413793103","0.292682926829268","0.666666666666667","0.636363636363636","0.705882352941177","0.666666666666667"
"4","Variables sin colinealidad y con normalización","0.689655172413793","0.358722358722359","0.684210526315789","0.7","0.742857142857143","0.684210526315789"
