"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.551724137931034","0.112941176470588","0.615384615384615","0.5","0.551724137931034","0.615384615384615"
"2","Todas las variables con normalizar","0.586206896551724","0.175355450236967","0.615384615384615","0.5625","0.571428571428572","0.615384615384615"
"3","Variables sin colinealidad y sin normalización","0.551724137931034","0.112941176470588","0.615384615384615","0.5","0.551724137931034","0.615384615384615"
"4","Variables sin colinealidad y con normalización","0.586206896551724","0.175355450236967","0.615384615384615","0.5625","0.571428571428572","0.615384615384615"
