"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.862068965517241","0.725118483412322","0.923076923076923","0.8125","0.857142857142857","0.923076923076923"
"2","Todas las variables con normalizar","0.827586206896552","0.658823529411765","0.923076923076923","0.75","0.827586206896552","0.923076923076923"
"3","Variables sin colinealidad y sin normalización","0.862068965517241","0.725118483412322","0.923076923076923","0.8125","0.857142857142857","0.923076923076923"
"4","Variables sin colinealidad y con normalización","0.827586206896552","0.658823529411765","0.923076923076923","0.75","0.827586206896552","0.923076923076923"
