"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.943661971830986","0.879584481662073","0.955056179775281","0.924528301886792","0.955056179775281","0.955056179775281"
"2","Todas las variables con normalizar","0.936619718309859","0.864013619919132","0.944444444444444","0.923076923076923","0.949720670391061","0.944444444444444"
"3","Variables sin colinealidad y sin normalización","0.915492957746479","0.81937672249311","0.932584269662921","0.886792452830189","0.932584269662921","0.932584269662921"
"4","Variables sin colinealidad y con normalización","0.915492957746479","0.817987609485153","0.923076923076923","0.901960784313726","0.933333333333333","0.923076923076923"
