"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.950704225352113","0.894232815492658","0.955555555555556","0.942307692307692","0.960893854748603","0.955555555555556"
"2","Todas las variables con normalizar","0.964788732394366","0.924452011066184","0.966666666666667","0.961538461538462","0.972067039106145","0.966666666666667"
"3","Variables sin colinealidad y sin normalización","0.950704225352113","0.894232815492658","0.955555555555556","0.942307692307692","0.960893854748603","0.955555555555556"
"4","Variables sin colinealidad y con normalización","0.936619718309859","0.86296375723783","0.934782608695652","0.94","0.950276243093923","0.934782608695652"
