"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.724137931034483","0.425742574257426","0.7","0.777777777777778","0.777777777777778","0.7"
"2","Todas las variables con normalizar","0.862068965517241","0.721153846153846","0.875","0.846153846153846","0.875","0.875"
"3","Variables sin colinealidad y sin normalización","0.827586206896552","0.643734643734644","0.789473684210526","0.9","0.857142857142857","0.789473684210526"
"4","Variables sin colinealidad y con normalización","0.655172413793103","0.292682926829268","0.666666666666667","0.636363636363636","0.705882352941177","0.666666666666667"
