"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.827586206896552","0.643734643734644","0.9375","0.692307692307692","0.857142857142857","0.9375"
"2","Todas las variables con normalizar","0.827586206896552","0.653937947494033","0.8125","0.846153846153846","0.838709677419355","0.8125"
"3","Variables sin colinealidad y sin normalización","0.827586206896552","0.648910411622276","0.875","0.769230769230769","0.848484848484849","0.875"
"4","Variables sin colinealidad y con normalización","0.793103448275862","0.587677725118483","0.75","0.846153846153846","0.8","0.75"
