"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.901408450704225","0.790868924889544","0.910112359550562","0.886792452830189","0.920454545454545","0.910112359550562"
"2","Todas las variables con normalizar","0.873239436619718","0.731117189143699","0.887640449438202","0.849056603773585","0.897727272727273","0.887640449438202"
"3","Variables sin colinealidad y sin normalización","0.922535211267606","0.833794424345605","0.943820224719101","0.886792452830189","0.93854748603352","0.943820224719101"
"4","Variables sin colinealidad y con normalización","0.901408450704225","0.789272842908628","0.921348314606742","0.867924528301887","0.921348314606742","0.921348314606742"
