"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.950704225352113","0.892586989409985","0.886792452830189","0.98876404494382","0.930693069306931","0.886792452830189"
"2","Todas las variables con normalizar","0.950704225352113","0.892586989409985","0.886792452830189","0.98876404494382","0.930693069306931","0.886792452830189"
"3","Variables sin colinealidad y sin normalización","0.943661971830986","0.876762855283142","0.867924528301887","0.98876404494382","0.92","0.867924528301887"
"4","Variables sin colinealidad y con normalización","0.936619718309859","0.860814637333914","0.849056603773585","0.98876404494382","0.909090909090909","0.849056603773585"
