"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.943661971830986","0.879584481662073","0.955056179775281","0.924528301886792","0.955056179775281","0.955056179775281"
"2","Todas las variables con normalizar","0.957746478873239","0.910372396381233","0.977011494252874","0.927272727272727","0.965909090909091","0.977011494252874"
"3","Variables sin colinealidad y sin normalización","0.929577464788732","0.848323007904294","0.934065934065934","0.92156862745098","0.944444444444444","0.934065934065934"
"4","Variables sin colinealidad y con normalización","0.936619718309859","0.86296375723783","0.934782608695652","0.94","0.950276243093923","0.934782608695652"
