"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.793103448275862","0.593457943925234","0.923076923076923","0.6875","0.8","0.923076923076923"
"2","Todas las variables con normalizar","0.827586206896552","0.653937947494033","0.846153846153846","0.8125","0.814814814814815","0.846153846153846"
"3","Variables sin colinealidad y sin normalización","0.827586206896552","0.658823529411765","0.923076923076923","0.75","0.827586206896552","0.923076923076923"
"4","Variables sin colinealidad y con normalización","0.827586206896552","0.658823529411765","0.923076923076923","0.75","0.827586206896552","0.923076923076923"
