"","Tipo","AUC","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.8987","0.887323943661972","0.768021237492342","0.943396226415094","0.853932584269663","0.862068965517241","0.943396226415094"
"2","Todas las variables con normalizar","0.9155","0.908450704225352","0.809415651455709","0.943396226415094","0.887640449438202","0.884955752212389","0.943396226415094"
"3","Variables sin colinealidad y sin normalización","0.9548","0.957746478873239","0.909688361246555","0.943396226415094","0.966292134831461","0.943396226415094","0.943396226415094"
"4","Variables sin colinealidad y con normalización","0.9265","0.936619718309859","0.86296375723783","0.886792452830189","0.966292134831461","0.912621359223301","0.886792452830189"
