"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.957746478873239","0.909688361246555","0.943396226415094","0.966292134831461","0.943396226415094","0.943396226415094"
"2","Todas las variables con normalizar","0.964788732394366","0.924452011066184","0.943396226415094","0.97752808988764","0.952380952380952","0.943396226415094"
"3","Variables sin colinealidad y sin normalización","0.950704225352113","0.892586989409985","0.886792452830189","0.98876404494382","0.930693069306931","0.886792452830189"
"4","Variables sin colinealidad y con normalización","0.950704225352113","0.892586989409985","0.886792452830189","0.98876404494382","0.930693069306931","0.886792452830189"
