"","Tipo","K","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","7","0.929577464788732","0.848323007904294","0.886792452830189","0.955056179775281","0.903846153846154","0.886792452830189"
"2","Todas las variables con normalización","9","0.936619718309859","0.86296375723783","0.886792452830189","0.966292134831461","0.912621359223301","0.886792452830189"
"3","Variables sin colinealidad y sin normalización","7","0.880281690140845","0.748907842729353","0.886792452830189","0.876404494382023","0.846846846846847","0.886792452830189"
"4","Variables sin colinealidad y con normalización","5","0.943661971830986","0.877717976318622","0.886792452830189","0.97752808988764","0.92156862745098","0.886792452830189"
