"","Tipo","AUC","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.899","0.896551724137931","0.79236276849642","0.875","0.923076923076923","0.903225806451613","0.875"
"2","Todas las variables con normalizar","0.899","0.896551724137931","0.79236276849642","0.875","0.923076923076923","0.903225806451613","0.875"
"3","Variables sin colinealidad y sin normalización","0.899","0.896551724137931","0.79236276849642","0.875","0.923076923076923","0.903225806451613","0.875"
"4","Variables sin colinealidad y con normalización","0.8365","0.827586206896552","0.658823529411765","0.75","0.923076923076923","0.827586206896552","0.75"
