"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.915492957746479","0.820744792762466","0.905660377358491","0.921348314606742","0.888888888888889","0.905660377358491"
"2","Todas las variables con normalizar","0.915492957746479","0.81937672249311","0.886792452830189","0.932584269662921","0.886792452830189","0.886792452830189"
"3","Variables sin colinealidad y sin normalización","0.908450704225352","0.803575228772079","0.867924528301887","0.932584269662921","0.876190476190476","0.867924528301887"
"4","Variables sin colinealidad y con normalización","0.915492957746479","0.817987609485153","0.867924528301887","0.943820224719101","0.884615384615385","0.867924528301887"
