"","Tipo","K","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","5","0.482758620689655","-0.10126582278481","0.75","0.153846153846154","0.615384615384615","0.75"
"2","Todas las variables con normalización","5","0.827586206896552","0.643734643734644","0.9375","0.692307692307692","0.857142857142857","0.9375"
"3","Variables sin colinealidad y sin normalización","5","0.482758620689655","-0.10126582278481","0.75","0.153846153846154","0.615384615384615","0.75"
"4","Variables sin colinealidad y con normalización","5","0.758620689655172","0.508474576271186","0.8125","0.692307692307692","0.787878787878788","0.8125"
