"","Tipo","Accuracy","Kappa","Sensitivity","Specificity","F1","Recall"
"1","Todas las variables sin normalizar","0.793103448275862","0.575609756097561","0.818181818181818","0.777777777777778","0.75","0.818181818181818"
"2","Todas las variables con normalizar","0.724137931034483","0.442307692307692","0.692307692307692","0.75","0.692307692307692","0.692307692307692"
"3","Variables sin colinealidad y sin normalización","0.689655172413793","0.368038740920097","0.666666666666667","0.705882352941177","0.64","0.666666666666667"
"4","Variables sin colinealidad y con normalización","0.758620689655172","0.515513126491647","0.714285714285714","0.8","0.740740740740741","0.714285714285714"
